tournament_id,tournament_date,player_id,surname,given_name,player_name,country,city,place,points,source_url,scraped_at
55047,2026-05-10,87815,Клубков,Дмитрий,Клубков Дмитрий,POL,,1,28.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,96995,Lobov,Maksym,Lobov Maksym,CYP,Limassol,2,16.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,92409,Конишев,Никита,Конишев Никита,POL,,3-4,10.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,68408,Трачук,Кірілл,Трачук Кірілл,UKR,Хмельницький,3-4,10.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,10481,Баблюк,Евгений,Баблюк Евгений,UKR,Кам'янець-Подільский,5-8,6.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,94439,Дмитрюк,Андрій,Дмитрюк Андрій,POL,Warszawa,5-8,6.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,87816,Курчевский,Даниил,Курчевский Даниил,POL,,5-8,6.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,53373,Мієнко,Олексій,Мієнко Олексій,UKR,Київ,5-8,6.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,87818,Kondratiuk,Aleksandr,Kondratiuk Aleksandr,POL,Warszawa,9-12,4.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,88403,Lavryk,Yevgen,Lavryk Yevgen,POL,Warszawa,9-12,4.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,49300,Вечтомов,Александр,Вечтомов Александр,UKR,Київ,9-12,4.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,89467,Діденко,Геннадій,Діденко Геннадій,POL,Warszawa,9-12,4.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,97445,Кепич,Тарас,Кепич Тарас,POL,,13-16,2.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,103180,Мазур,Сергей,Мазур Сергей,POL,Poznań,13-16,2.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,43938,Таланенко,Олександр,Таланенко Олександр,POL,Wrocław,13-16,2.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,41555,Черный,Роман,Черный Роман,UKR,,13-16,2.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
55047,2026-05-10,4931,Новиков,Максим,Новиков Максим,UKR,,17,0.5,https://tournamentservice.net/embed/55047/standing,2026-08-24T14:48:58.236294+00:00
