tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
55159,2026-05-24,2882305,R1,Первый тур,2,38885,Бурлака Валерій,3,87908,Тихонов Роман,0,01,2026-05-24T09:06:34+00:00,2026-05-24T10:13:14+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882306,R1,Первый тур,3,68408,Трачук Кірілл,3,103427,Янченко Артем,0,02,2026-05-24T09:06:48+00:00,2026-05-24T09:58:52+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882307,R1,Первый тур,4,103429,Стаянович Давид,1,1134,Буданцев Артем,3,02,2026-05-24T09:59:17+00:00,2026-05-24T11:02:34+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882308,R1,Первый тур,5,87816,Курчевский Даниил,2,87813,Polovko Volodymyr,3,3,2026-05-24T09:07:02+00:00,2026-05-24T10:39:40+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882309,R1,Первый тур,6,88077,Ярчевский Эдуард,1,64943,Собачинский Владислав,3,4,2026-05-24T09:07:11+00:00,2026-05-24T10:21:03+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882310,R1,Первый тур,7,101634,Ефаненков Анатолий,0,5580,Данов Илья,3,5,2026-05-24T09:07:18+00:00,2026-05-24T10:37:25+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882311,R1,Первый тур,8,97675,Бугаєць Роман,2,58151,Єфремов Олексій,3,6,2026-05-24T09:07:26+00:00,2026-05-24T11:20:17+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882313,R1,Первый тур,10,41556,Крутов Алексей,3,103428,Микаилов Кенан,0,9,2026-05-24T09:07:37+00:00,2026-05-24T10:48:59+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882314,R1,Первый тур,11,87815,Клубков Дмитрий,2,96995,Lobov Maksym,3,010,2026-05-24T09:07:46+00:00,2026-05-24T10:20:16+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882315,R1,Первый тур,12,100024,Квятковский Давид,1,41555,Черный Роман,3,01,2026-05-24T10:13:40+00:00,2026-05-24T11:23:48+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882316,R1,Первый тур,13,76844,Миенко Алексей,1,87671,Скукіс Володимир,3,010,2026-05-24T10:20:23+00:00,2026-05-24T11:33:31+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882317,R1,Первый тур,14,100787,Жигимонт Олег,3,10378,Дмитрук Андрей,0,4,2026-05-24T10:21:19+00:00,2026-05-24T11:16:09+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882318,R1,Первый тур,15,1053,Крупицкий Александр,3,88403,Lavryk Yevgen,2,5,2026-05-24T10:37:54+00:00,2026-05-24T12:33:57+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882320,WB1,"Верхняя сетка, тур 1",17,26032,Попов Олександр,3,38885,Бурлака Валерій,2,3,2026-05-24T10:40:03+00:00,2026-05-24T12:48:17+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882321,WB1,"Верхняя сетка, тур 1",18,68408,Трачук Кірілл,3,1134,Буданцев Артем,2,01,2026-05-24T11:24:48+00:00,2026-05-24T12:43:18+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882322,WB1,"Верхняя сетка, тур 1",19,87813,Polovko Volodymyr,1,64943,Собачинский Владислав,3,010,2026-05-24T11:34:07+00:00,2026-05-24T12:48:24+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882323,WB1,"Верхняя сетка, тур 1",20,5580,Данов Илья,2,58151,Єфремов Олексій,3,02,2026-05-24T12:01:01+00:00,2026-05-24T14:09:12+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882324,WB1,"Верхняя сетка, тур 1",21,10481,Баблюк Евгений,3,41556,Крутов Алексей,0,9,2026-05-24T10:49:27+00:00,2026-05-24T12:02:50+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882325,WB1,"Верхняя сетка, тур 1",22,96995,Lobov Maksym,3,41555,Черный Роман,1,6,2026-05-24T12:30:04+00:00,2026-05-24T13:35:36+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882326,WB1,"Верхняя сетка, тур 1",23,87671,Скукіс Володимир,1,100787,Жигимонт Олег,3,010,2026-05-24T12:50:11+00:00,2026-05-24T14:11:43+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882327,WB1,"Верхняя сетка, тур 1",24,1053,Крупицкий Александр,3,89467,Діденко Геннадій,0,5,2026-05-24T12:34:18+00:00,2026-05-24T13:44:31+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882297,LB1,"Нижняя сетка, тур 1",26,103427,Янченко Артем,0,103429,Стаянович Давид,2,4,2026-05-24T11:19:22+00:00,2026-05-24T12:56:43+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882298,LB1,"Нижняя сетка, тур 1",27,87816,Курчевский Даниил,2,88077,Ярчевский Эдуард,1,02,2026-05-24T11:03:03+00:00,2026-05-24T12:00:50+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882299,LB1,"Нижняя сетка, тур 1",28,101634,Ефаненков Анатолий,0,97675,Бугаєць Роман,2,6,2026-05-24T11:21:48+00:00,2026-05-24T12:29:55+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882301,LB1,"Нижняя сетка, тур 1",30,87815,Клубков Дмитрий,2,100024,Квятковский Давид,1,9,2026-05-24T12:03:38+00:00,2026-05-24T12:54:25+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882302,LB1,"Нижняя сетка, тур 1",31,76844,Миенко Алексей,2,10378,Дмитрук Андрей,0,01,2026-05-24T12:43:35+00:00,2026-05-24T13:23:35+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882288,LB2,"Нижняя сетка, тур 2",33,87908,Тихонов Роман,1,89467,Діденко Геннадій,2,5,2026-05-24T13:44:47+00:00,2026-05-24T14:44:26+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882289,LB2,"Нижняя сетка, тур 2",34,103429,Стаянович Давид,1,87671,Скукіс Володимир,2,6,2026-05-24T14:12:17+00:00,2026-05-24T15:05:52+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882290,LB2,"Нижняя сетка, тур 2",35,87816,Курчевский Даниил,2,41555,Черный Роман,0,6,2026-05-24T13:36:05+00:00,2026-05-24T14:08:33+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882291,LB2,"Нижняя сетка, тур 2",36,97675,Бугаєць Роман,2,41556,Крутов Алексей,1,4,2026-05-24T13:07:43+00:00,2026-05-24T14:42:07+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882292,LB2,"Нижняя сетка, тур 2",37,103428,Микаилов Кенан,2,5580,Данов Илья,0,02,2026-05-24T14:09:28+00:00,2026-05-24T15:21:44+00:00,https://tournamentservice.net/embed/55159/standing
55159,2026-05-24,2882293,LB2,"Нижняя сетка, тур 2",38,87815,Клубков Дмитрий,1,87813,Polovko Volodymyr,2,9,2026-05-24T12:55:00+00:00,2026-05-24T13:54:01+00:00,https://tournamentservice.net/embed/55159/standing
