tournament_id,tournament_date,tournament_name,discipline,discipline_name,player_id,surname,given_name,player_name,country,city,place,points,source_url,scraped_at
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,103855,Kurchevskyi,Daniil,Kurchevskyi Daniil,POL,Варшава,1,35.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,100787,Жигимонт,Олег,Жигимонт Олег,POL,Warszawa,2,23.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,87813,Polovko,Volodymyr,Polovko Volodymyr,POL,Warszawa,3-4,17.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,9926,Олейник,Иван,Олейник Иван,UKR,Київ,3-4,17.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,96997,Klubkov,Dmytro,Klubkov Dmytro,POL,Warszawa,5-8,13.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,97675,Бугаєць,Роман,Бугаєць Роман,POL,Варшава,5-8,13.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,64943,Собачинский,Владислав,Собачинский Владислав,UKR,Кам'янець-Подільский,5-8,13.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,68408,Трачук,Кірілл,Трачук Кірілл,UKR,Хмельницький,5-8,13.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,96995,Lobov,Maksym,Lobov Maksym,CYP,Limassol,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,10481,Баблюк,Евгений,Баблюк Евгений,UKR,Кам'янець-Подільский,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,55740,Бойко,Дмитро,Бойко Дмитро,UKR,Київ,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,94439,Дмитрюк,Андрій,Дмитрюк Андрій,POL,Warszawa,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,97445,Кепич,Тарас,Кепич Тарас,POL,,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,103428,Микаилов,Кенан,Микаилов Кенан,POL,Варшава,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,53373,Мієнко,Олексій,Мієнко Олексій,UKR,Київ,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,97235,Сливинский,Андрей,Сливинский Андрей,POL,,9-16,11.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,88403,Lavryk,Yevgen,Lavryk Yevgen,POL,Warszawa,17-24,7.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,5580,Данов,Илья,Данов Илья,UKR,Дніпро,17-24,7.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,89467,Діденко,Геннадій,Діденко Геннадій,POL,Warszawa,17-24,7.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,92409,Конишев,Никита,Конишев Никита,POL,,17-24,7.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,1053,Крупицкий,Александр,Крупицкий Александр,UKR,Дніпро,17-24,7.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,89180,Лапко,Алексей,Лапко Алексей,POL,,17-24,7.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
55565,2026-07-12,Zlota Bila,combined,Комбинированная с изменениями,88075,Стельмах,Даниил,Стельмах Даниил,POL,,17-24,7.0,https://tournamentservice.net/embed/55565/standing,2026-08-25T13:39:05.637491+00:00
