tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
54257,2026-02-08,2832228,R1,Первый тур,2,58147,Лелецький Пилип,0,92409,Конишев Никита,3,VIP,2026-02-08T11:10:31+00:00,2026-02-08T12:04:15+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832232,R1,Первый тур,6,55740,Бойко Дмитро,2,94439,Дмитрюк Андрій,3,3,2026-02-08T11:10:44+00:00,2026-02-08T12:17:12+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832233,R1,Первый тур,7,79988,Бинюк Николай,0,41351,Багацький Денис,3,4,2026-02-08T11:10:55+00:00,2026-02-08T11:51:48+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832236,R1,Первый тур,10,41556,Крутов Алексей,0,87815,Клубков Дмитрий,3,5,2026-02-08T11:11:05+00:00,2026-02-08T11:54:50+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832237,R1,Первый тур,11,88403,Lavryk Yevgen,3,5580,Данов Илья,2,6,2026-02-08T11:11:11+00:00,2026-02-08T12:33:50+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832240,R1,Первый тур,14,101461,Гапоненко Егор,0,10481,Баблюк Евгений,3,9,2026-02-08T11:11:29+00:00,2026-02-08T12:46:25+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832241,R1,Первый тур,15,66382,Чернявский Александр,1,88077,Ярчевский Эдуард,3,010,2026-02-08T11:11:35+00:00,2026-02-08T12:05:18+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832243,WB1,"Верхняя сетка, тур 1",17,43938,Таланенко Олександр,3,92409,Конишев Никита,1,VIP,2026-02-08T12:05:31+00:00,2026-02-08T12:45:45+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832244,WB1,"Верхняя сетка, тур 1",18,97445,Кепич Тарас,1,99885,Папоу Владимир,3,02,2026-02-08T11:10:38+00:00,2026-02-08T12:34:32+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832245,WB1,"Верхняя сетка, тур 1",19,89180,Лапко Алексей,1,94439,Дмитрюк Андрій,3,3,2026-02-08T12:17:25+00:00,2026-02-08T13:36:17+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832246,WB1,"Верхняя сетка, тур 1",20,41351,Багацький Денис,1,87813,Polovko Volodymyr,3,4,2026-02-08T11:55:05+00:00,2026-02-08T12:25:03+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832247,WB1,"Верхняя сетка, тур 1",21,97675,Бугаєць Роман,2,87815,Клубков Дмитрий,3,5,2026-02-08T11:55:11+00:00,2026-02-08T13:17:24+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832248,WB1,"Верхняя сетка, тур 1",22,88403,Lavryk Yevgen,1,87908,Тихонов Роман,3,6,2026-02-08T12:33:57+00:00,2026-02-08T13:23:15+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832249,WB1,"Верхняя сетка, тур 1",23,64943,Собачинский Владислав,0,10481,Баблюк Евгений,3,9,2026-02-08T12:47:01+00:00,2026-02-08T13:21:40+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832250,WB1,"Верхняя сетка, тур 1",24,88077,Ярчевский Эдуард,0,1559,Десятник Виталий,3,010,2026-02-08T12:05:25+00:00,2026-02-08T12:47:09+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832211,LB2,"Нижняя сетка, тур 2",33,58147,Лелецький Пилип,3,88077,Ярчевский Эдуард,0,010,2026-02-08T12:47:44+00:00,2026-02-08T13:36:37+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832213,LB2,"Нижняя сетка, тур 2",35,55740,Бойко Дмитро,3,88403,Lavryk Yevgen,2,6,2026-02-08T13:23:26+00:00,2026-02-08T14:24:58+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832214,LB2,"Нижняя сетка, тур 2",36,79988,Бинюк Николай,1,97675,Бугаєць Роман,3,5,2026-02-08T13:19:30+00:00,2026-02-08T14:41:26+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832215,LB2,"Нижняя сетка, тур 2",37,41556,Крутов Алексей,1,41351,Багацький Денис,3,4,2026-02-08T12:26:34+00:00,2026-02-08T13:05:48+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832216,LB2,"Нижняя сетка, тур 2",38,5580,Данов Илья,3,89180,Лапко Алексей,1,3,2026-02-08T13:37:47+00:00,2026-02-08T15:15:45+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832217,LB2,"Нижняя сетка, тур 2",39,101461,Гапоненко Егор,2,97445,Кепич Тарас,3,02,2026-02-08T12:46:45+00:00,2026-02-08T14:35:30+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832218,LB2,"Нижняя сетка, тур 2",40,66382,Чернявский Александр,1,92409,Конишев Никита,3,VIP,2026-02-08T12:46:51+00:00,2026-02-08T14:13:56+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832251,WB2,"Верхняя сетка, тур 2",41,43938,Таланенко Олександр,3,99885,Папоу Владимир,1,4,2026-02-08T13:06:00+00:00,2026-02-08T13:43:31+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832252,WB2,"Верхняя сетка, тур 2",42,94439,Дмитрюк Андрій,0,87813,Polovko Volodymyr,3,010,2026-02-08T13:40:42+00:00,2026-02-08T14:28:55+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832253,WB2,"Верхняя сетка, тур 2",43,87815,Клубков Дмитрий,3,87908,Тихонов Роман,1,4,2026-02-08T13:43:45+00:00,2026-02-08T14:33:39+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832254,WB2,"Верхняя сетка, тур 2",44,10481,Баблюк Евгений,2,1559,Десятник Виталий,3,9,2026-02-08T13:21:58+00:00,2026-02-08T14:28:30+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832207,LB3,"Нижняя сетка, тур 3",45,58147,Лелецький Пилип,2,64943,Собачинский Владислав,3,VIP,2026-02-08T14:16:26+00:00,2026-02-08T15:52:58+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832208,LB3,"Нижняя сетка, тур 3",46,55740,Бойко Дмитро,3,97675,Бугаєць Роман,2,5,2026-02-08T14:41:46+00:00,2026-02-08T16:39:16+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832209,LB3,"Нижняя сетка, тур 3",47,41351,Багацький Денис,3,5580,Данов Илья,0,3,2026-02-08T15:15:56+00:00,2026-02-08T15:52:27+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832210,LB3,"Нижняя сетка, тур 3",48,97445,Кепич Тарас,1,92409,Конишев Никита,3,02,2026-02-08T14:35:43+00:00,2026-02-08T15:40:12+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832203,LB4,"Нижняя сетка, тур 4",49,64943,Собачинский Владислав,3,94439,Дмитрюк Андрій,2,4,2026-02-08T15:53:03+00:00,2026-02-08T16:19:07+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832204,LB4,"Нижняя сетка, тур 4",50,55740,Бойко Дмитро,3,99885,Папоу Владимир,0,5,2026-02-08T16:39:25+00:00,2026-02-08T17:24:24+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832205,LB4,"Нижняя сетка, тур 4",51,41351,Багацький Денис,0,10481,Баблюк Евгений,3,3,2026-02-08T15:52:43+00:00,2026-02-08T16:55:20+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832206,LB4,"Нижняя сетка, тур 4",52,92409,Конишев Никита,1,87908,Тихонов Роман,3,02,2026-02-08T15:40:19+00:00,2026-02-08T16:57:49+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832255,QF,1/4 финала,53,43938,Таланенко Олександр,0,10481,Баблюк Евгений,3,3,2026-02-08T16:55:26+00:00,2026-02-08T17:40:38+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832256,QF,1/4 финала,54,87813,Polovko Volodymyr,1,87908,Тихонов Роман,3,02,2026-02-08T16:58:01+00:00,2026-02-08T17:54:24+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832257,QF,1/4 финала,55,87815,Клубков Дмитрий,2,64943,Собачинский Владислав,3,4,2026-02-08T16:19:21+00:00,2026-02-08T17:55:26+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832258,QF,1/4 финала,56,1559,Десятник Виталий,2,55740,Бойко Дмитро,3,5,2026-02-08T17:24:33+00:00,2026-02-08T18:44:21+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832259,SF,Полуфинал,57,10481,Баблюк Евгений,3,87908,Тихонов Роман,2,3,2026-02-08T17:54:30+00:00,2026-02-08T20:28:18+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832260,SF,Полуфинал,58,64943,Собачинский Владислав,3,55740,Бойко Дмитро,1,5,2026-02-08T18:44:29+00:00,2026-02-08T20:28:01+00:00,https://tournamentservice.net/embed/54257/standing
54257,2026-02-08,2832261,F,Финал,59,10481,Баблюк Евгений,2,64943,Собачинский Владислав,3,VIP,2026-02-08T20:28:57+00:00,2026-02-08T20:28:57+00:00,https://tournamentservice.net/embed/54257/standing
