tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
55634,2026-07-26,2907696,R1,Первый тур,2,68408,Трачук Кірілл,3,103427,Янченко Артем,0,1,2026-07-26T09:09:01+00:00,2026-07-26T09:50:20+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907700,R1,Первый тур,6,26032,Попов Олександр,2,103855,Kurchevskyi Daniil,3,3,2026-07-26T09:09:18+00:00,2026-07-26T11:10:13+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907701,R1,Первый тур,7,10481,Баблюк Евгений,1,101635,Марданов Хусейн,3,4,2026-07-26T09:09:29+00:00,2026-07-26T11:04:36+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907704,R1,Первый тур,10,58944,Тіванов Матвій,2,94439,Дмитрюк Андрій,3,5,2026-07-26T09:09:37+00:00,2026-07-26T10:35:42+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907705,R1,Первый тур,11,100787,Жигимонт Олег,3,41555,Черный Роман,0,6,2026-07-26T09:09:46+00:00,2026-07-26T10:13:14+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907708,R1,Первый тур,14,96995,Lobov Maksym,3,87908,Тихонов Роман,0,9,2026-07-26T09:09:54+00:00,2026-07-26T10:08:54+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907709,R1,Первый тур,15,64943,Собачинский Владислав,3,97445,Кепич Тарас,1,10,2026-07-26T09:10:05+00:00,2026-07-26T09:57:55+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907711,WB1,"Верхняя сетка, тур 1",17,88403,Lavryk Yevgen,3,68408,Трачук Кірілл,0,1,2026-07-26T09:50:24+00:00,2026-07-26T10:42:13+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907712,WB1,"Верхняя сетка, тур 1",18,17811,Дементий Данил,3,5257,Калачинский Леонид,0,2,2026-07-26T09:09:11+00:00,2026-07-26T10:00:06+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907713,WB1,"Верхняя сетка, тур 1",19,97675,Бугаєць Роман,0,103855,Kurchevskyi Daniil,3,3,2026-07-26T11:10:42+00:00,2026-07-26T12:11:04+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907714,WB1,"Верхняя сетка, тур 1",20,101635,Марданов Хусейн,3,87813,Polovko Volodymyr,2,4,2026-07-26T11:04:44+00:00,2026-07-26T13:23:30+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907715,WB1,"Верхняя сетка, тур 1",21,89467,Діденко Геннадій,1,94439,Дмитрюк Андрій,3,5,2026-07-26T10:35:54+00:00,2026-07-26T11:52:18+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907716,WB1,"Верхняя сетка, тур 1",22,100787,Жигимонт Олег,3,101634,Ефаненков Анатолий,0,6,2026-07-26T10:13:20+00:00,2026-07-26T11:08:43+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907717,WB1,"Верхняя сетка, тур 1",23,41556,Крутов Алексей,3,96995,Lobov Maksym,2,9,2026-07-26T10:09:52+00:00,2026-07-26T11:22:28+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907718,WB1,"Верхняя сетка, тур 1",24,64943,Собачинский Владислав,3,87671,Скукіс Володимир,0,10,2026-07-26T09:58:10+00:00,2026-07-26T10:45:02+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907679,LB2,"Нижняя сетка, тур 2",33,103427,Янченко Артем,0,87671,Скукіс Володимир,3,10,2026-07-26T10:46:20+00:00,2026-07-26T11:01:57+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907681,LB2,"Нижняя сетка, тур 2",35,26032,Попов Олександр,3,101634,Ефаненков Анатолий,0,6,2026-07-26T11:10:57+00:00,2026-07-26T11:49:25+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907682,LB2,"Нижняя сетка, тур 2",36,10481,Баблюк Евгений,3,89467,Діденко Геннадій,1,5,2026-07-26T11:52:26+00:00,2026-07-26T12:44:21+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907683,LB2,"Нижняя сетка, тур 2",37,58944,Тіванов Матвій,3,87813,Polovko Volodymyr,2,4,2026-07-26T13:24:05+00:00,2026-07-26T14:03:50+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907684,LB2,"Нижняя сетка, тур 2",38,41555,Черный Роман,1,97675,Бугаєць Роман,3,3,2026-07-26T12:13:05+00:00,2026-07-26T13:25:43+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907685,LB2,"Нижняя сетка, тур 2",39,87908,Тихонов Роман,3,5257,Калачинский Леонид,0,2,2026-07-26T10:09:41+00:00,2026-07-26T10:56:21+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907686,LB2,"Нижняя сетка, тур 2",40,97445,Кепич Тарас,0,68408,Трачук Кірілл,3,1,2026-07-26T10:42:37+00:00,2026-07-26T11:14:20+00:00,https://tournamentservice.net/embed/55634/standing
55634,2026-07-26,2907719,8F,1/8 финала,41,88403,Lavryk Yevgen,2,10481,Баблюк Евгений,3,5,2026-07-26T12:44:39+00:00,2026-07-26T14:40:21+00:00,https://tournamentservice.net/embed/55634/standing
