tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
53998,2026-01-11,2817100,R1,Первый тур,2,94439,Дмитрюк Андрій,40,5580,Данов Илья,13,VIP,2026-01-11T11:08:07+00:00,2026-01-11T12:10:43+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817101,R1,Первый тур,3,100786,Bikmetov Maxim,40,76085,Гайдеров Максим,25,010,2026-01-11T11:34:43+00:00,2026-01-11T11:57:59+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817104,R1,Первый тур,6,41556,Крутов Алексей,35,87813,Polovko Volodymyr,40,02,2026-01-11T11:08:19+00:00,2026-01-11T12:13:35+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817105,R1,Первый тур,7,92409,Конишев Никита,9,68408,Трачук Кірілл,40,3,2026-01-11T11:08:34+00:00,2026-01-11T11:55:04+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817108,R1,Первый тур,10,97445,Кепич Тарас,19,9707,Вишневский Денис,40,4,2026-01-11T11:08:41+00:00,2026-01-11T12:06:09+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817109,R1,Первый тур,11,89467,Діденко Геннадій,30,38885,Бурлака Валерій,40,5,2026-01-11T11:08:48+00:00,2026-01-11T11:59:05+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817112,R1,Первый тур,14,10481,Баблюк Евгений,40,89180,Лапко Алексей,26,6,2026-01-11T11:08:58+00:00,2026-01-11T12:17:19+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817113,R1,Первый тур,15,100024,Квятковский Давид,29,87908,Тихонов Роман,40,9,2026-01-11T11:09:43+00:00,2026-01-11T12:23:33+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817115,WB1,"Верхняя сетка, тур 1",17,100787,Жигимонт Олег,40,94439,Дмитрюк Андрій,32,VIP,2026-01-11T12:10:47+00:00,2026-01-11T13:25:04+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817116,WB1,"Верхняя сетка, тур 1",18,100786,Bikmetov Maxim,27,64943,Собачинский Владислав,40,010,2026-01-11T11:58:08+00:00,2026-01-11T12:41:15+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817117,WB1,"Верхняя сетка, тур 1",19,87671,Скукіс Володимир,40,87813,Polovko Volodymyr,29,02,2026-01-11T12:13:44+00:00,2026-01-11T13:15:18+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817118,WB1,"Верхняя сетка, тур 1",20,68408,Трачук Кірілл,40,97675,Бугаєць Роман,39,3,2026-01-11T11:56:56+00:00,2026-01-11T13:11:46+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817119,WB1,"Верхняя сетка, тур 1",21,53732,Kondratuk Alexandr,22,9707,Вишневский Денис,40,4,2026-01-11T12:06:46+00:00,2026-01-11T13:01:15+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817120,WB1,"Верхняя сетка, тур 1",22,38885,Бурлака Валерій,40,97235,Сливинский Андрей,25,5,2026-01-11T11:59:15+00:00,2026-01-11T13:13:11+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817121,WB1,"Верхняя сетка, тур 1",23,87816,Курчевский Даниил,37,10481,Баблюк Евгений,40,6,2026-01-11T12:17:25+00:00,2026-01-11T14:01:14+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817122,WB1,"Верхняя сетка, тур 1",24,87908,Тихонов Роман,34,43938,Таланенко Олександр,40,9,2026-01-11T12:23:40+00:00,2026-01-11T13:25:32+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817083,LB2,"Нижняя сетка, тур 2",33,5580,Данов Илья,28,87908,Тихонов Роман,40,9,2026-01-11T13:25:57+00:00,2026-01-11T15:00:52+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817084,LB2,"Нижняя сетка, тур 2",34,76085,Гайдеров Максим,40,87816,Курчевский Даниил,35,6,2026-01-11T14:01:30+00:00,2026-01-11T15:08:04+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817085,LB2,"Нижняя сетка, тур 2",35,41556,Крутов Алексей,22,97235,Сливинский Андрей,40,5,2026-01-11T13:13:31+00:00,2026-01-11T14:28:58+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817086,LB2,"Нижняя сетка, тур 2",36,92409,Конишев Никита,40,53732,Kondratuk Alexandr,32,4,2026-01-11T13:01:24+00:00,2026-01-11T14:03:23+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817087,LB2,"Нижняя сетка, тур 2",37,97445,Кепич Тарас,30,97675,Бугаєць Роман,40,3,2026-01-11T13:11:54+00:00,2026-01-11T15:01:21+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817088,LB2,"Нижняя сетка, тур 2",38,89467,Діденко Геннадій,39,87813,Polovko Volodymyr,40,22,2026-01-11T13:15:29+00:00,2026-01-11T14:19:59+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817089,LB2,"Нижняя сетка, тур 2",39,89180,Лапко Алексей,34,100786,Bikmetov Maxim,40,010,2026-01-11T12:41:38+00:00,2026-01-11T14:02:17+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817090,LB2,"Нижняя сетка, тур 2",40,100024,Квятковский Давид,25,94439,Дмитрюк Андрій,40,VIP,2026-01-11T13:46:25+00:00,2026-01-11T14:38:39+00:00,https://tournamentservice.net/embed/53998/standing
53998,2026-01-11,2817123,8F,1/8 финала,41,100787,Жигимонт Олег,40,92409,Конишев Никита,32,4,2026-01-11T14:03:47+00:00,2026-01-11T15:25:34+00:00,https://tournamentservice.net/embed/53998/standing
