tournament_id,tournament_date,tournament_name,discipline,discipline_name,player_id,surname,given_name,player_name,country,city,place,points,source_url,scraped_at
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,64943,Собачинский,Владислав,Собачинский Владислав,UKR,Кам'янець-Подільский,1,31.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,10481,Баблюк,Евгений,Баблюк Евгений,UKR,Кам'янець-Подільский,2,19.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,55740,Бойко,Дмитро,Бойко Дмитро,UKR,Київ,3-4,13.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,87908,Тихонов,Роман,Тихонов Роман,POL,Warszawa,3-4,13.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,87813,Polovko,Volodymyr,Polovko Volodymyr,POL,Warszawa,5-8,9.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,1559,Десятник,Виталий,Десятник Виталий,UKR,Київ,5-8,9.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,87815,Клубков,Дмитрий,Клубков Дмитрий,POL,,5-8,9.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,43938,Таланенко,Олександр,Таланенко Олександр,POL,Wrocław,5-8,9.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,41351,Багацький,Денис,Багацький Денис,UKR,Одеса,9-12,7.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,94439,Дмитрюк,Андрій,Дмитрюк Андрій,POL,Warszawa,9-12,7.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,92409,Конишев,Никита,Конишев Никита,POL,,9-12,7.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,99885,Папоу,Владимир,Папоу Владимир,POL,Warszawa,9-12,7.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,97675,Бугаєць,Роман,Бугаєць Роман,POL,Варшава,13-16,5.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,5580,Данов,Илья,Данов Илья,UKR,Дніпро,13-16,5.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,97445,Кепич,Тарас,Кепич Тарас,POL,,13-16,5.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,58147,Лелецький,Пилип,Лелецький Пилип,UKR,Івано-Франківськ,13-16,5.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,88403,Lavryk,Yevgen,Lavryk Yevgen,POL,Warszawa,17-23,3.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,79988,Бинюк,Николай,Бинюк Николай,UKR,Южноукраїнськ,17-23,3.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,101461,Гапоненко,Егор,Гапоненко Егор,POL,Warszawa,17-23,3.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,41556,Крутов,Алексей,Крутов Алексей,UKR,Черкаси,17-23,3.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,89180,Лапко,Алексей,Лапко Алексей,POL,,17-23,3.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,66382,Чернявский,Александр,Чернявский Александр,UKR,Рубіжне,17-23,3.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
54257,2026-02-08,Клубный турнир Zlota Bila,continuation,Пирамида с продолжением,88077,Ярчевский,Эдуард,Ярчевский Эдуард,POL,Warszawa,17-23,3.5,https://tournamentservice.net/embed/54257/standing,2026-08-25T13:39:01.026990+00:00
