tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
55047,2026-05-10,2876979,R1,Первый тур,2,87815,Клубков Дмитрий,3,96995,Lobov Maksym,1,01,2026-05-10T09:07:06+00:00,2026-05-10T10:05:51+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876994,WB1,"Верхняя сетка, тур 1",17,97445,Кепич Тарас,1,87815,Клубков Дмитрий,3,01,2026-05-10T10:06:24+00:00,2026-05-10T11:17:32+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876995,WB1,"Верхняя сетка, тур 1",18,87816,Курчевский Даниил,2,92409,Конишев Никита,3,02,2026-05-10T09:07:14+00:00,2026-05-10T10:46:39+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876996,WB1,"Верхняя сетка, тур 1",19,43938,Таланенко Олександр,0,68408,Трачук Кірілл,3,3,2026-05-10T09:07:21+00:00,2026-05-10T09:44:36+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876997,WB1,"Верхняя сетка, тур 1",20,49300,Вечтомов Александр,3,94439,Дмитрюк Андрій,1,4,2026-05-10T09:07:29+00:00,2026-05-10T10:08:34+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876998,WB1,"Верхняя сетка, тур 1",21,89467,Діденко Геннадій,3,41555,Черный Роман,0,5,2026-05-10T09:07:35+00:00,2026-05-10T09:55:03+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876999,WB1,"Верхняя сетка, тур 1",22,53373,Мієнко Олексій,3,87818,Kondratiuk Aleksandr,2,6,2026-05-10T09:07:43+00:00,2026-05-10T09:55:46+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877000,WB1,"Верхняя сетка, тур 1",23,103180,Мазур Сергей,2,10481,Баблюк Евгений,3,9,2026-05-10T09:07:57+00:00,2026-05-10T10:29:07+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877001,WB1,"Верхняя сетка, тур 1",24,4931,Новиков Максим,0,88403,Lavryk Yevgen,3,010,2026-05-10T09:08:07+00:00,2026-05-10T09:26:24+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876962,LB2,"Нижняя сетка, тур 2",33,96995,Lobov Maksym,3,4931,Новиков Максим,1,010,2026-05-10T10:06:31+00:00,2026-05-10T11:01:42+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877002,WB2,"Верхняя сетка, тур 2",41,87815,Клубков Дмитрий,3,92409,Конишев Никита,0,5,2026-05-10T11:18:15+00:00,2026-05-10T12:07:41+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877003,WB2,"Верхняя сетка, тур 2",42,68408,Трачук Кірілл,3,49300,Вечтомов Александр,0,4,2026-05-10T10:09:22+00:00,2026-05-10T10:51:35+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877004,WB2,"Верхняя сетка, тур 2",43,89467,Діденко Геннадій,0,53373,Мієнко Олексій,3,5,2026-05-10T09:56:10+00:00,2026-05-10T10:21:16+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877005,WB2,"Верхняя сетка, тур 2",44,10481,Баблюк Евгений,3,88403,Lavryk Yevgen,0,5,2026-05-10T10:29:24+00:00,2026-05-10T11:04:33+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876958,LB3,"Нижняя сетка, тур 3",45,96995,Lobov Maksym,3,103180,Мазур Сергей,1,3,2026-05-10T11:02:02+00:00,2026-05-10T12:03:20+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876959,LB3,"Нижняя сетка, тур 3",46,87818,Kondratiuk Aleksandr,3,41555,Черный Роман,0,6,2026-05-10T09:56:35+00:00,2026-05-10T10:45:01+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876960,LB3,"Нижняя сетка, тур 3",47,94439,Дмитрюк Андрій,3,43938,Таланенко Олександр,1,3,2026-05-10T10:09:28+00:00,2026-05-10T10:50:04+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876961,LB3,"Нижняя сетка, тур 3",48,87816,Курчевский Даниил,3,97445,Кепич Тарас,1,02,2026-05-10T11:18:23+00:00,2026-05-10T12:20:56+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876954,LB4,"Нижняя сетка, тур 4",49,96995,Lobov Maksym,3,49300,Вечтомов Александр,2,3,2026-05-10T12:03:32+00:00,2026-05-10T13:26:43+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876955,LB4,"Нижняя сетка, тур 4",50,87818,Kondratiuk Aleksandr,1,92409,Конишев Никита,3,5,2026-05-10T12:08:48+00:00,2026-05-10T13:11:35+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876956,LB4,"Нижняя сетка, тур 4",51,94439,Дмитрюк Андрій,3,88403,Lavryk Yevgen,2,4,2026-05-10T11:05:03+00:00,2026-05-10T12:04:28+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2876957,LB4,"Нижняя сетка, тур 4",52,87816,Курчевский Даниил,3,89467,Діденко Геннадій,0,02,2026-05-10T12:21:10+00:00,2026-05-10T12:42:41+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877006,QF,1/4 финала,53,87815,Клубков Дмитрий,3,94439,Дмитрюк Андрій,1,4,2026-05-10T12:08:13+00:00,2026-05-10T13:36:16+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877007,QF,1/4 финала,54,68408,Трачук Кірілл,3,87816,Курчевский Даниил,2,02,2026-05-10T12:47:43+00:00,2026-05-10T14:00:25+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877008,QF,1/4 финала,55,53373,Мієнко Олексій,2,96995,Lobov Maksym,3,3,2026-05-10T13:26:53+00:00,2026-05-10T14:27:53+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877009,QF,1/4 финала,56,10481,Баблюк Евгений,1,92409,Конишев Никита,3,5,2026-05-10T13:11:42+00:00,2026-05-10T13:55:41+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877010,SF,Полуфинал,57,87815,Клубков Дмитрий,3,68408,Трачук Кірілл,1,02,2026-05-10T14:00:31+00:00,2026-05-10T16:35:22+00:00,https://tournamentservice.net/embed/55047/standing
55047,2026-05-10,2877011,SF,Полуфинал,58,96995,Lobov Maksym,3,92409,Конишев Никита,2,3,2026-05-10T14:27:58+00:00,2026-05-10T16:35:11+00:00,https://tournamentservice.net/embed/55047/standing
