tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
54702,2026-03-29,2858231,R1,Первый тур,2,26032,Попов Олександр,2,87815,Клубков Дмитрий,3,01,2026-03-29T09:07:21+00:00,2026-03-29T11:14:12+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858235,R1,Первый тур,6,87816,Курчевский Даниил,3,49300,Вечтомов Александр,1,3,2026-03-29T09:07:46+00:00,2026-03-29T10:35:38+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858236,R1,Первый тур,7,101635,Марданов Хусейн,2,58944,Тіванов Матвій,3,4,2026-03-29T09:07:55+00:00,2026-03-29T10:52:50+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858239,R1,Первый тур,10,41555,Черный Роман,1,97675,Бугаєць Роман,3,5,2026-03-29T09:08:06+00:00,2026-03-29T10:39:24+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858244,R1,Первый тур,15,101634,Ефаненков Анатолий,1,87908,Тихонов Роман,3,010,2026-03-29T09:08:31+00:00,2026-03-29T10:26:18+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858246,WB1,"Верхняя сетка, тур 1",17,1632,Шумелюк Александр,3,87815,Клубков Дмитрий,2,01,2026-03-29T11:14:33+00:00,2026-03-29T13:54:27+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858247,WB1,"Верхняя сетка, тур 1",18,4931,Новиков Максим,0,68408,Трачук Кірілл,3,02,2026-03-29T09:07:35+00:00,2026-03-29T10:12:46+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858248,WB1,"Верхняя сетка, тур 1",19,41556,Крутов Алексей,0,87816,Курчевский Даниил,3,02,2026-03-29T10:35:57+00:00,2026-03-29T11:28:56+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858249,WB1,"Верхняя сетка, тур 1",20,58944,Тіванов Матвій,2,33488,Лищинский Владислав,3,4,2026-03-29T10:53:09+00:00,2026-03-29T13:04:16+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858250,WB1,"Верхняя сетка, тур 1",21,64943,Собачинский Владислав,3,97675,Бугаєць Роман,0,5,2026-03-29T10:39:40+00:00,2026-03-29T11:40:16+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858251,WB1,"Верхняя сетка, тур 1",22,87813,Polovko Volodymyr,3,79229,Лобов Максим,1,6,2026-03-29T09:08:12+00:00,2026-03-29T10:08:04+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858252,WB1,"Верхняя сетка, тур 1",23,10481,Баблюк Евгений,3,87671,Скукіс Володимир,0,9,2026-03-29T09:08:25+00:00,2026-03-29T10:21:22+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858253,WB1,"Верхняя сетка, тур 1",24,87908,Тихонов Роман,1,9707,Вишневский Денис,3,6,2026-03-29T10:26:24+00:00,2026-03-29T11:41:48+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858214,LB2,"Нижняя сетка, тур 2",33,26032,Попов Олександр,2,87908,Тихонов Роман,1,02,2026-03-29T11:44:09+00:00,2026-03-29T12:44:54+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858216,LB2,"Нижняя сетка, тур 2",35,49300,Вечтомов Александр,1,79229,Лобов Максим,2,3,2026-03-29T10:35:51+00:00,2026-03-29T11:48:01+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858217,LB2,"Нижняя сетка, тур 2",36,101635,Марданов Хусейн,0,97675,Бугаєць Роман,2,5,2026-03-29T11:41:06+00:00,2026-03-29T12:47:01+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858218,LB2,"Нижняя сетка, тур 2",37,41555,Черный Роман,1,58944,Тіванов Матвій,2,5,2026-03-29T13:04:51+00:00,2026-03-29T14:12:17+00:00,https://tournamentservice.net/embed/54702/standing
54702,2026-03-29,2858221,LB2,"Нижняя сетка, тур 2",40,101634,Ефаненков Анатолий,0,87815,Клубков Дмитрий,2,22,2026-03-29T13:54:58+00:00,2026-03-29T14:28:23+00:00,https://tournamentservice.net/embed/54702/standing
