tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
53955,2026-01-24,2821277,R1,Первый тур,2,87908,Тихонов Роман,36,98039,Одарюк Михаил,40,01,2026-01-24T10:59:51+00:00,2026-01-24T12:15:54+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821281,R1,Первый тур,6,82628,Sergeyev Sergiy,50,16530,Єленич Владислав,46,02,2026-01-24T11:00:01+00:00,2026-01-24T12:46:07+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821282,R1,Первый тур,7,90817,Денисенко Игорь,35,194,Dubenko Ihor,45,3,2026-01-24T11:00:15+00:00,2026-01-24T12:39:24+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821285,R1,Первый тур,10,87671,Скукіс Володимир,40,39029,Череватый Денис,31,4,2026-01-24T10:55:28+00:00,2026-01-24T12:02:15+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821290,R1,Первый тур,15,45956,Бікметов Максим,40,87679,Stratu Oleg,15,5,2026-01-24T10:55:40+00:00,2026-01-24T12:02:39+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821293,R1,Первый тур,18,85155,Havadziuk Serhii,8,100954,Rodionov Vladiav,50,6,2026-01-24T10:55:57+00:00,2026-01-24T11:40:29+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821297,R1,Первый тур,22,91311,Міщенко Адріан,40,96997,Klubkov Dmytro,33,9,2026-01-24T10:56:17+00:00,2026-01-24T12:12:42+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821298,R1,Первый тур,23,1188,Каракай Валерий,40,41351,Багацький Денис,32,010,2026-01-24T10:56:25+00:00,2026-01-24T12:29:10+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821301,R1,Первый тур,26,86227,Borovskyi Andrii,18,42211,Стерпул Ілля,40,6,2026-01-24T11:41:20+00:00,2026-01-24T12:29:51+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821302,R1,Первый тур,27,43938,Таланенко Олександр,19,25198,Aguzov Igor,40,4,2026-01-24T12:04:22+00:00,2026-01-24T13:24:54+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821306,R1,Первый тур,31,224,Плешко Марк,45,5321,Сінгаєвський Євгеній,25,5,2026-01-24T12:04:53+00:00,2026-01-24T13:32:26+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821308,WB1,"Верхняя сетка, тур 1",33,100025,Рупаевский Адик,28,98039,Одарюк Михаил,40,02,2026-01-24T13:36:53+00:00,2026-01-24T14:28:13+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821309,WB1,"Верхняя сетка, тур 1",34,7205,Гранкин Ярослав,27,100908,Aksen Vladislav,40,9,2026-01-24T12:13:14+00:00,2026-01-24T13:20:27+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821310,WB1,"Верхняя сетка, тур 1",35,87813,Polovko Volodymyr,27,82628,Sergeyev Sergiy,40,01,2026-01-24T14:11:11+00:00,2026-01-24T15:30:53+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821311,WB1,"Верхняя сетка, тур 1",36,194,Dubenko Ihor,13,68408,Трачук Кірілл,40,010,2026-01-24T14:01:20+00:00,2026-01-24T14:40:41+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821312,WB1,"Верхняя сетка, тур 1",37,62612,Томин Анатолий,34,87671,Скукіс Володимир,40,9,2026-01-24T13:21:23+00:00,2026-01-24T14:41:01+00:00,https://tournamentservice.net/embed/53955/standing
53955,2026-01-24,2821313,WB1,"Верхняя сетка, тур 1",38,100566,Zayanchkouski Anton,25,1632,Шумелюк Александр,40,01,2026-01-24T12:20:41+00:00,2026-01-24T14:08:50+00:00,https://tournamentservice.net/embed/53955/standing
