tournament_id,tournament_date,tournament_name,discipline,discipline_name,player_id,surname,given_name,player_name,country,city,place,points,source_url,scraped_at
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,100954,Rodionov,Vladiav,Rodionov Vladiav,TBA,,1,41.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,22984,Гоменюк,Нікіта,Гоменюк Нікіта,UKR,Одеса,2,29.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,1188,Каракай,Валерий,Каракай Валерий,LAT,Rīga,3-4,23.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,91311,Міщенко,Адріан,Міщенко Адріан,UKR,Одеса,3-4,23.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,100908,Aksen,Vladislav,Aksen Vladislav,TBA,,5-8,19.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,16530,Єленич,Владислав,Єленич Владислав,UKR,Одеса,5-8,19.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,224,Плешко,Марк,Плешко Марк,UKR,Одеса,5-8,19.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,5321,Сінгаєвський,Євгеній,Сінгаєвський Євгеній,POL,Wrocław,5-8,19.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,100957,Miienko,Alex,Miienko Alex,UKR,Київ,9-16,17.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,100907,Voronko,Daniil,Voronko Daniil,TBA,,9-16,17.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,38885,Бурлака,Валерій,Бурлака Валерій,UKR,Запоріжжя,9-16,17.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,45956,Бікметов,Максим,Бікметов Максим,UKR,Покровськ,9-16,17.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,98299,Котик,Игорь,Котик Игорь,ESP,Marbella,9-16,17.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,86276,Левочкин,Володимир,Левочкин Володимир,POL,Wrocław,9-16,17.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
53955,2026-01-24,Denisenko Cup. V открытый любительский турнир Zlota Bila.,continuation,Пирамида с продолжением,68408,Трачук,Кірілл,Трачук Кірілл,UKR,Хмельницький,9-16,17.5,https://tournamentservice.net/embed/53955/standing,2026-08-25T13:38:59.842986+00:00
